easting,northing,elev,conductivity
805771.3,7026498.5,434.1,13.999720000000002
805771.3,7026498.5,421.9,8.62069
805771.3,7026498.5,408.0,7.24113
805771.3,7026498.5,392.2,7.0671399999999975
805771.3,7026498.5,374.2,8.09061
805771.3,7026498.5,353.7,7.5643
805771.3,7026498.5,330.4,9.49668
805771.3,7026498.5,303.9,14.979029999999998
805771.3,7026498.5,273.8,28.441409999999998
805771.3,7026498.5,239.5,60.975609999999996
805771.3,7026498.5,200.5,126.29451999999999
805771.3,7026498.5,156.1,183.89113999999998
805771.3,7026498.5,105.6,
805771.3,7026498.5,48.1,
805771.3,7026498.5,-17.3,
805771.3,7026498.5,-91.8,
805772.2,7026532.2,507.8,33.1675
805772.2,7026532.2,505.8,35.66334000000001
805772.2,7026532.2,503.5,42.2119
805772.2,7026532.2,500.9,54.555369999999996
805772.2,7026532.2,498.0,72.62164
805772.2,7026532.2,494.6,89.44544
805772.2,7026532.2,490.8,94.51796
805772.2,7026532.2,486.5,91.07468
805772.2,7026532.2,481.6,91.82736
805772.2,7026532.2,476.0,109.8177
805772.2,7026532.2,469.6,153.82249
805772.2,7026532.2,462.3,161.23831
805772.2,7026532.2,454.0,74.51565
805772.2,7026532.2,444.6,27.61668
805772.2,7026532.2,433.9,12.980269999999999
805772.2,7026532.2,421.7,8.23045
805772.2,7026532.2,407.8,7.1428600000000015
805772.2,7026532.2,392.0,7.16332
805772.2,7026532.2,374.0,7.9428100000000015
805772.2,7026532.2,353.5,7.83085
805772.2,7026532.2,330.2,10.26062
805772.2,7026532.2,303.7,16.85772
805772.2,7026532.2,273.6,33.1565
805772.2,7026532.2,239.3,71.07321
805772.2,7026532.2,200.3,135.20821999999998
805772.2,7026532.2,155.9,181.35655
805772.2,7026532.2,105.4,
805772.2,7026532.2,47.9,
805772.2,7026532.2,-17.5,
805772.2,7026532.2,-92.0,
805772.3,7026566.5,507.8,37.82148
805772.3,7026566.5,505.8,40.355129999999996
805772.3,7026566.5,503.5,47.03669
805772.3,7026566.5,500.9,59.06675
805772.3,7026566.5,498.0,75.5287
805772.3,7026566.5,494.6,89.0472
805772.3,7026566.5,490.8,91.40768
805772.3,7026566.5,486.5,88.18342
805772.3,7026566.5,481.6,92.85051
805772.3,7026566.5,476.0,119.40298999999999
805772.3,7026566.5,469.6,169.40538999999995
805772.3,7026566.5,462.3,148.10426999999999
805772.3,7026566.5,454.0,61.27451
805772.3,7026566.5,444.6,23.0521
805772.3,7026566.5,433.9,11.268880000000001
805772.3,7026566.5,421.7,7.4794300000000025
